"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"55175","2008","Auditor","General","","Norton","","Thomas M. Salmon","Democratic/Republican","81"
"55176","2008","Auditor","General","","Norwich","","Thomas M. Salmon","Democratic/Republican","1,660"
"55177","2008","Auditor","General","","Orange","","Thomas M. Salmon","Democratic/Republican","428"
"55178","2008","Auditor","General","","Orwell","","Thomas M. Salmon","Democratic/Republican","505"
"55179","2008","Auditor","General","","Panton","","Thomas M. Salmon","Democratic/Republican","306"
"55180","2008","Auditor","General","","Pawlet","","Thomas M. Salmon","Democratic/Republican","568"
"55181","2008","Auditor","General","","Peacham","","Thomas M. Salmon","Democratic/Republican","399"
"55182","2008","Auditor","General","","Peru","","Thomas M. Salmon","Democratic/Republican","162"
"55183","2008","Auditor","General","","Pittsfield","","Thomas M. Salmon","Democratic/Republican","213"
"55184","2008","Auditor","General","","Pittsford","","Thomas M. Salmon","Democratic/Republican","1,260"
"55185","2008","Auditor","General","","Plainfield","","Thomas M. Salmon","Democratic/Republican","483"
"55186","2008","Auditor","General","","Plymouth","","Thomas M. Salmon","Democratic/Republican","260"
"55187","2008","Auditor","General","","Pomfret","","Thomas M. Salmon","Democratic/Republican","496"
"55188","2008","Auditor","General","","Poultney","","Thomas M. Salmon","Democratic/Republican","1,125"
"55189","2008","Auditor","General","","Pownal","","Thomas M. Salmon","Democratic/Republican","1,225"
"55190","2008","Auditor","General","","Proctor","","Thomas M. Salmon","Democratic/Republican","738"
"55191","2008","Auditor","General","","Putney","","Thomas M. Salmon","Democratic/Republican","908"
"55192","2008","Auditor","General","","Randolph","","Thomas M. Salmon","Democratic/Republican","1,804"
"55193","2008","Auditor","General","","Reading","","Thomas M. Salmon","Democratic/Republican","302"
"55194","2008","Auditor","General","","Readsboro","","Thomas M. Salmon","Democratic/Republican","257"
"55195","2008","Auditor","General","","Richford","","Thomas M. Salmon","Democratic/Republican","743"
"55196","2008","Auditor","General","","Richmond","","Thomas M. Salmon","Democratic/Republican","1,771"
"55197","2008","Auditor","General","","Ripton","","Thomas M. Salmon","Democratic/Republican","252"
"55198","2008","Auditor","General","","Rochester","","Thomas M. Salmon","Democratic/Republican","487"
"55199","2008","Auditor","General","","Rockingham","","Thomas M. Salmon","Democratic/Republican","1,926"
"55200","2008","Auditor","General","","Roxbury","","Thomas M. Salmon","Democratic/Republican","233"
"55201","2008","Auditor","General","","Royalton","","Thomas M. Salmon","Democratic/Republican","972"
"55202","2008","Auditor","General","","Rupert","","Thomas M. Salmon","Democratic/Republican","245"
"55203","2008","Auditor","General","","Rutland City","Rutland 5-1","Thomas M. Salmon","Democratic/Republican","1,864"
"55204","2008","Auditor","General","","Rutland City","Rutland 5-2","Thomas M. Salmon","Democratic/Republican","1,649"
"55205","2008","Auditor","General","","Rutland City","Rutland 5-3","Thomas M. Salmon","Democratic/Republican","1,113"
"55206","2008","Auditor","General","","Rutland City","Rutland 5-4","Thomas M. Salmon","Democratic/Republican","1,487"
"55207","2008","Auditor","General","","Rutland Town","","Thomas M. Salmon","Democratic/Republican","2,097"
"55208","2008","Auditor","General","","Ryegate","","Thomas M. Salmon","Democratic/Republican","485"
"55209","2008","Auditor","General","","Salisbury","","Thomas M. Salmon","Democratic/Republican","451"
"55210","2008","Auditor","General","","Sandgate","","Thomas M. Salmon","Democratic/Republican","164"
"55211","2008","Auditor","General","","Searsburg","","Thomas M. Salmon","Democratic/Republican","43"
"55212","2008","Auditor","General","","Shaftsbury","","Thomas M. Salmon","Democratic/Republican","1,562"
"55213","2008","Auditor","General","","Sharon","","Thomas M. Salmon","Democratic/Republican","541"
"55214","2008","Auditor","General","","Sheffield","","Thomas M. Salmon","Democratic/Republican","249"
"55215","2008","Auditor","General","","Shelburne","Chittenden 5-1","Thomas M. Salmon","Democratic/Republican","1,911"
"55216","2008","Auditor","General","","Shelburne","Chittenden 5-2","Thomas M. Salmon","Democratic/Republican","1,623"
"55217","2008","Auditor","General","","Sheldon","","Thomas M. Salmon","Democratic/Republican","706"
"55218","2008","Auditor","General","","Shoreham","","Thomas M. Salmon","Democratic/Republican","515"
"55219","2008","Auditor","General","","Shrewsbury","","Thomas M. Salmon","Democratic/Republican","515"
"55220","2008","Auditor","General","","S. Burlington","Chittenden 3-10","Thomas M. Salmon","Democratic/Republican","1,675"
"55221","2008","Auditor","General","","S. Burlington","Chittenden 3-7","Thomas M. Salmon","Democratic/Republican","1,671"
"55222","2008","Auditor","General","","S. Burlington","Chittenden 3-8","Thomas M. Salmon","Democratic/Republican","2,482"
"55223","2008","Auditor","General","","S. Burlington","Chittenden 3-9","Thomas M. Salmon","Democratic/Republican","1,666"
"55224","2008","Auditor","General","","S. Hero","","Thomas M. Salmon","Democratic/Republican","945"
"55225","2008","Auditor","General","","Springfield","Windsor 1-1","Thomas M. Salmon","Democratic/Republican","51"
"55226","2008","Auditor","General","","Springfield","Windsor 1-2","Thomas M. Salmon","Democratic/Republican","3,337"
"55227","2008","Auditor","General","","St. Albans City","","Thomas M. Salmon","Democratic/Republican","2,182"
"55228","2008","Auditor","General","","St. Albans Town","","Thomas M. Salmon","Democratic/Republican","2,514"
"55229","2008","Auditor","General","","St. George","","Thomas M. Salmon","Democratic/Republican","277"
"55230","2008","Auditor","General","","St. Johnsbury","","Thomas M. Salmon","Democratic/Republican","2,652"
"55231","2008","Auditor","General","","Stamford","","Thomas M. Salmon","Democratic/Republican","320"
"55232","2008","Auditor","General","","Stannard","","Thomas M. Salmon","Democratic/Republican","85"
"55233","2008","Auditor","General","","Starksboro","","Thomas M. Salmon","Democratic/Republican","648"
"55234","2008","Auditor","General","","Stockbridge","","Thomas M. Salmon","Democratic/Republican","311"
"55235","2008","Auditor","General","","Stowe","","Thomas M. Salmon","Democratic/Republican","2,050"
"55236","2008","Auditor","General","","Strafford","","Thomas M. Salmon","Democratic/Republican","530"
"55237","2008","Auditor","General","","Stratton","","Thomas M. Salmon","Democratic/Republican","105"
"55238","2008","Auditor","General","","Sudbury","","Thomas M. Salmon","Democratic/Republican","274"
"55239","2008","Auditor","General","","Sunderland","","Thomas M. Salmon","Democratic/Republican","377"
"55240","2008","Auditor","General","","Sutton","","Thomas M. Salmon","Democratic/Republican","358"
"55241","2008","Auditor","General","","Swanton","","Thomas M. Salmon","Democratic/Republican","2,218"
"55242","2008","Auditor","General","","Thetford","","Thomas M. Salmon","Democratic/Republican","1,145"
"55243","2008","Auditor","General","","Tinmouth","","Thomas M. Salmon","Democratic/Republican","244"
"55244","2008","Auditor","General","","Topsham","","Thomas M. Salmon","Democratic/Republican","449"
"55245","2008","Auditor","General","","Townshend","","Thomas M. Salmon","Democratic/Republican","473"
"55246","2008","Auditor","General","","Troy","","Thomas M. Salmon","Democratic/Republican","538"
"55247","2008","Auditor","General","","Tunbridge","","Thomas M. Salmon","Democratic/Republican","564"
"55248","2008","Auditor","General","","Underhill","","Thomas M. Salmon","Democratic/Republican","1,229"
"55249","2008","Auditor","General","","Vergennes","","Thomas M. Salmon","Democratic/Republican","969"
"55250","2008","Auditor","General","","Vernon","","Thomas M. Salmon","Democratic/Republican","872"
"55251","2008","Auditor","General","","Vershire","","Thomas M. Salmon","Democratic/Republican","258"
"55252","2008","Auditor","General","","Victory","","Thomas M. Salmon","Democratic/Republican","42"
"55253","2008","Auditor","General","","Waitsfield","","Thomas M. Salmon","Democratic/Republican","835"
"55254","2008","Auditor","General","","Walden","","Thomas M. Salmon","Democratic/Republican","394"
"55255","2008","Auditor","General","","Wallingford","","Thomas M. Salmon","Democratic/Republican","983"
"55256","2008","Auditor","General","","Waltham","","Thomas M. Salmon","Democratic/Republican","234"
"55257","2008","Auditor","General","","Wardsboro","","Thomas M. Salmon","Democratic/Republican","291"
"55258","2008","Auditor","General","","Warren","","Thomas M. Salmon","Democratic/Republican","708"
"55259","2008","Auditor","General","","Washington","","Thomas M. Salmon","Democratic/Republican","437"
"55260","2008","Auditor","General","","Waterbury","","Thomas M. Salmon","Democratic/Republican","2,228"
"55261","2008","Auditor","General","","Waterford","","Thomas M. Salmon","Democratic/Republican","604"
"55262","2008","Auditor","General","","Waterville","","Thomas M. Salmon","Democratic/Republican","261"
"55263","2008","Auditor","General","","Weathersfield","","Thomas M. Salmon","Democratic/Republican","1,197"
"55264","2008","Auditor","General","","Wells","","Thomas M. Salmon","Democratic/Republican","435"
"55265","2008","Auditor","General","","W. Fairlee","","Thomas M. Salmon","Democratic/Republican","243"
"55266","2008","Auditor","General","","W. Haven","","Thomas M. Salmon","Democratic/Republican","122"
"55267","2008","Auditor","General","","W. Rutland","","Thomas M. Salmon","Democratic/Republican","878"
"55268","2008","Auditor","General","","W. Windsor","","Thomas M. Salmon","Democratic/Republican","530"
"55269","2008","Auditor","General","","Westfield","","Thomas M. Salmon","Democratic/Republican","231"
"55270","2008","Auditor","General","","Westford","","Thomas M. Salmon","Democratic/Republican","797"
"55271","2008","Auditor","General","","Westminster","Windham 4","Thomas M. Salmon","Democratic/Republican","77"
"55272","2008","Auditor","General","","Westminster","Windham 5","Thomas M. Salmon","Democratic/Republican","1,204"
"55273","2008","Auditor","General","","Westmore","","Thomas M. Salmon","Democratic/Republican","168"
"55274","2008","Auditor","General","","Weston","","Thomas M. Salmon","Democratic/Republican","323"
"55275","2008","Auditor","General","","Weybridge","","Thomas M. Salmon","Democratic/Republican","447"
"55276","2008","Auditor","General","","Wheelock","","Thomas M. Salmon","Democratic/Republican","302"
"55277","2008","Auditor","General","","Whiting","","Thomas M. Salmon","Democratic/Republican","177"
"55278","2008","Auditor","General","","Whitingham","","Thomas M. Salmon","Democratic/Republican","464"
"55279","2008","Auditor","General","","Williamstown","","Thomas M. Salmon","Democratic/Republican","1,269"
"55280","2008","Auditor","General","","Williston","","Thomas M. Salmon","Democratic/Republican","3,984"
"55281","2008","Auditor","General","","Wilmington","","Thomas M. Salmon","Democratic/Republican","770"
"55282","2008","Auditor","General","","Windham","","Thomas M. Salmon","Democratic/Republican","173"
"55283","2008","Auditor","General","","Windsor","","Thomas M. Salmon","Democratic/Republican","1,285"
"55284","2008","Auditor","General","","Winhall","","Thomas M. Salmon","Democratic/Republican","397"
"55285","2008","Auditor","General","","Winooski","","Thomas M. Salmon","Democratic/Republican","1,934"
"55286","2008","Auditor","General","","Wolcott","","Thomas M. Salmon","Democratic/Republican","614"
"55287","2008","Auditor","General","","Woodbury","","Thomas M. Salmon","Democratic/Republican","398"
"55288","2008","Auditor","General","","Woodford","","Thomas M. Salmon","Democratic/Republican","136"
"55289","2008","Auditor","General","","Woodstock","","Thomas M. Salmon","Democratic/Republican","1,560"
"55290","2008","Auditor","General","","Worcester","","Thomas M. Salmon","Democratic/Republican","426"
