"county","town","precinct","office","district","party","candidate","votes"
"Essex","Maidstone","Maidstone","Auditor General","","Republican","Randy Brock",50
"Bennington","Manchester","Manchester","Auditor General","","Republican","Randy Brock",1277
"Windham","Marlboro","Marlboro","Auditor General","","Republican","Randy Brock",102
"Washington","Marshfield","Marshfield","Auditor General","","Republican","Randy Brock",402
"Rutland","Mendon","Mendon","Auditor General","","Republican","Randy Brock",399
"Addison","Middlebury","Middlebury","Auditor General","","Republican","Randy Brock",1557
"Washington","Middlesex","Middlesex","Auditor General","","Republican","Randy Brock",471
"Rutland","Middletown Springs","Middletown Springs","Auditor General","","Republican","Randy Brock",214
"Chittenden","Milton","Chittenden 9","Auditor General","","Republican","Randy Brock",2218
"Chittenden","Milton","Grand Isle-Chittenden 1-1","Auditor General","","Republican","Randy Brock",400
"Addison","Monkton","Monkton","Auditor General","","Republican","Randy Brock",536
"Franklin","Montgomery","Montgomery","Auditor General","","Republican","Randy Brock",276
